scenario,algo,algo_label,run_id,n_qos_flows,n_decisions,n_timing,throughput_mean,throughput_std,throughput_min,throughput_max,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,jitter_mean_ms,jitter_std_ms,jitter_p95_ms,packet_loss_mean,packet_loss_max,latency_mdev_mean,latency_pre_ms,latency_post_ms,jitter_pre_ms,jitter_post_ms,throughput_pre,throughput_post,loss_pre_pct,loss_post_pct,flow_setup_mean_ms,flow_setup_std_ms,flow_setup_p50_ms,flow_setup_p95_ms,flow_setup_p99_ms,flow_setup_max_ms,end_mape,end_jfi_c,n_flows
steady,wlc,WLC,9,11,0,0,3.1445727272727275,0.0009349769078335119,3.1435,3.1455,14.818454545454545,4.788669989958305,15.417,19.8575,20.0643,0.0,0.0,0.0,0.0607909090909091,0.0743,0.0,14.818454545454545,14.818454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wlc,WLC,10,11,0,0,3.144718181818182,0.0010814972786079929,3.1429,3.1456,15.578363636363637,5.286319670105607,15.67,22.105,23.8578,0.0,0.0,0.0,0.033772727272727274,0.0743,0.0,15.578363636363637,15.578363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wlc,WLC,11,11,0,0,3.1453545454545457,0.0006170310143966104,3.1435,3.1456,13.768181818181818,3.266996627429597,13.169,18.168,19.447200000000002,0.0,0.0,0.0,0.01350909090909091,0.0743,0.0,13.768181818181818,13.768181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wlc,WLC,12,11,0,0,3.1449727272727275,0.0009466688006805534,3.1435,3.1456,13.25,4.294672280861486,14.456,17.3145,17.3157,0.0,0.0,0.0,0.04728181818181818,0.0743,0.0,13.25,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wlc,WLC,13,11,0,0,3.144790909090909,0.001006433848252855,3.1434,3.1456,13.828909090909091,5.807213108790575,15.392,19.418,19.500400000000003,0.0,0.0,0.0,0.0607909090909091,0.0743,0.0,13.828909090909091,13.828909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wlc,WLC,14,11,0,0,3.1444727272727273,0.0010325608060457042,3.1432,3.1456,15.633000000000001,7.355750254052947,15.976,25.776,30.410400000000003,0.0,0.0,0.0,0.05403636363636364,0.0743,0.0,15.633000000000001,15.633000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wlc,WLC,15,11,0,0,3.1443454545454546,0.0009363371576133122,3.1436,3.1456,16.189272727272726,4.871401648209868,16.945,20.154,20.2956,0.0,0.0,0.0,0.0607909090909091,0.0743,0.0,16.189272727272726,16.189272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
single_change,saintelague,Sainte-Lague,1,15,0,0,3.0244733333333333,0.11633746765746786,2.9095,3.1456,18.8806,8.52933643206953,17.511,32.99230000000001,36.26326,0.0,0.0,0.0,0.03833333333333334,0.1239,0.0,13.4845,22.478,0.0,0.0,3.1455166666666665,2.9437777777777776,0.02476666666666667,0.04737777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
single_change,saintelague,Sainte-Lague,2,15,0,0,3.07062,0.10695124523418544,2.921,3.1456,23.671533333333333,10.137782484115453,20.027,41.63840000000001,47.909279999999995,0.0,0.0,0.0,0.026006666666666668,0.0929,0.0,20.8465,25.55488888888889,0.0,0.0,3.144233333333333,3.0215444444444444,0.04953333333333334,0.010322222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
single_change,saintelague,Sainte-Lague,3,15,0,0,3.0561333333333334,0.11149087513377608,2.9156,3.1456,14.745733333333334,5.05249374731594,13.671,21.977400000000006,27.453079999999993,0.0,0.0,0.0,0.03131333333333333,0.0929,0.0,12.369666666666667,16.329777777777778,0.0,0.0,3.14555,2.996522222222222,0.012383333333333335,0.04393333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
single_change,saintelague,Sainte-Lague,4,15,0,0,3.051746666666667,0.11302213352554742,2.9073,3.1456,17.926333333333332,8.56532493476431,14.905,36.8389,37.159780000000005,0.0,0.0,0.0,0.04293333333333334,0.1239,0.0,12.748666666666667,21.37811111111111,0.0,0.0,3.1455166666666665,2.9892333333333334,0.02476666666666667,0.055044444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
